"ID","METEROLOGICAL_PROVINCE","MONTH","CLIMATE","VALUE","UNIT","YEAR"
5,"Punjab","February","Rainfall",2.84,"in",1907
17,"North West Frontier Province","February","Rainfall",2.99,"in",1907
6,"Sindh","February","Rainfall",1.31,"in",1907
7,"Rajputana Agency","February","Rainfall",1.62,"in",1907
8,"Bombay Presidency","February","Rainfall",0.18,"in",1907
9,"Central India Agency","February","Rainfall",1.5,"in",1907
10,"Central Province And Berar","February","Rainfall",2.84,"in",1907
11,"Hyderabad","February","Rainfall",0.12,"in",1907
12,"Mysore","February","Rainfall",0,"in",1907
13,"Madras Presidency","February","Rainfall",0.05,"in",1907
14,"Lower Burma","February","Rainfall",0.03,"in",1907
15,"Upper Burma","February","Rainfall",0.04,"in",1907
16,"Jammu And Kashmir","February","Rainfall",4.41,"in",1907
18,"Baluchistan Agency","February","Rainfall",3.3,"in",1907
22,"Eastern Bengal And Assam","March","Temperature",72.1,"ºF",1907
2,"Bengal","March","Temperature",75.3,"ºF",1907
4,"United Province Of Agra And Oudh","March","Temperature",69.7,"ºF",1907
5,"Punjab","March","Temperature",64.8,"ºF",1907
17,"North West Frontier Province","March","Temperature",61.3,"ºF",1907
6,"Sindh","March","Temperature",76,"ºF",1907
7,"Rajputana Agency","March","Temperature",73.3,"ºF",1907
8,"Bombay Presidency","March","Temperature",79.6,"ºF",1907
9,"Central India Agency","March","Temperature",73.6,"ºF",1907
10,"Central Province And Berar","March","Temperature",78,"ºF",1907
11,"Hyderabad","March","Temperature",83.4,"ºF",1907
12,"Mysore","March","Temperature",79,"ºF",1907
13,"Madras Presidency","March","Temperature",83.4,"ºF",1907
14,"Lower Burma","March","Temperature",81.4,"ºF",1907
15,"Upper Burma","March","Temperature",78.3,"ºF",1907
16,"Jammu And Kashmir","March","Temperature",32.6,"ºF",1907
18,"Baluchistan Agency","March","Temperature",55.6,"ºF",1907
22,"Eastern Bengal And Assam","March","Rainfall",3.25,"in",1907
2,"Bengal","March","Rainfall",2.65,"in",1907
4,"United Province Of Agra And Oudh","March","Rainfall",0.81,"in",1907
5,"Punjab","March","Rainfall",1.66,"in",1907
17,"North West Frontier Province","March","Rainfall",2.62,"in",1907
6,"Sindh","March","Rainfall",0.21,"in",1907
7,"Rajputana Agency","March","Rainfall",0.38,"in",1907
8,"Bombay Presidency","March","Rainfall",0.05,"in",1907
9,"Central India Agency","March","Rainfall",0.1,"in",1907
10,"Central Province And Berar","March","Rainfall",0.22,"in",1907
11,"Hyderabad","March","Rainfall",0.43,"in",1907
12,"Mysore","March","Rainfall",0.45,"in",1907
13,"Madras Presidency","March","Rainfall",0.95,"in",1907
14,"Lower Burma","March","Rainfall",2.04,"in",1907
15,"Upper Burma","March","Rainfall",0.83,"in",1907
16,"Jammu And Kashmir","March","Rainfall",3.39,"in",1907
18,"Baluchistan Agency","March","Rainfall",1.08,"in",1907
22,"Eastern Bengal And Assam","April","Temperature",77.9,"ºF",1907
2,"Bengal","April","Temperature",82.5,"ºF",1907
4,"United Province Of Agra And Oudh","April","Temperature",80.9,"ºF",1907
5,"Punjab","April","Temperature",77,"ºF",1907
17,"North West Frontier Province","April","Temperature",73.6,"ºF",1907
6,"Sindh","April","Temperature",84,"ºF",1907
7,"Rajputana Agency","April","Temperature",84.1,"ºF",1907
8,"Bombay Presidency","April","Temperature",83.4,"ºF",1907
9,"Central India Agency","April","Temperature",82.4,"ºF",1907
10,"Central Province And Berar","April","Temperature",83.2,"ºF",1907
11,"Hyderabad","April","Temperature",84,"ºF",1907
12,"Mysore","April","Temperature",78.9,"ºF",1907
13,"Madras Presidency","April","Temperature",84.7,"ºF",1907
14,"Lower Burma","April","Temperature",84.8,"ºF",1907
15,"Upper Burma","April","Temperature",83.8,"ºF",1907
16,"Jammu And Kashmir","April","Temperature",47.9,"ºF",1907
18,"Baluchistan Agency","April","Temperature",67.6,"ºF",1907
22,"Eastern Bengal And Assam","April","Rainfall",7.61,"in",1907
2,"Bengal","April","Rainfall",1.91,"in",1907
4,"United Province Of Agra And Oudh","April","Rainfall",0.92,"in",1907
5,"Punjab","April","Rainfall",1.92,"in",1907
17,"North West Frontier Province","April","Rainfall",3.81,"in",1907
6,"Sindh","April","Rainfall",0.16,"in",1907
7,"Rajputana Agency","April","Rainfall",0.48,"in",1907
8,"Bombay Presidency","April","Rainfall",1.39,"in",1907
9,"Central India Agency","April","Rainfall",0.5,"in",1907
10,"Central Province And Berar","April","Rainfall",1.55,"in",1907
11,"Hyderabad","April","Rainfall",4.05,"in",1907
12,"Mysore","April","Rainfall",3.49,"in",1907
13,"Madras Presidency","April","Rainfall",3.07,"in",1907
14,"Lower Burma","April","Rainfall",0.28,"in",1907
15,"Upper Burma","April","Rainfall",0.64,"in",1907
16,"Jammu And Kashmir","April","Rainfall",3.72,"in",1907
18,"Baluchistan Agency","April","Rainfall",1.13,"in",1907
22,"Eastern Bengal And Assam","May","Temperature",81.6,"ºF",1907
2,"Bengal","May","Temperature",87.6,"ºF",1907
4,"United Province Of Agra And Oudh","May","Temperature",88.7,"ºF",1907
5,"Punjab","May","Temperature",87.1,"ºF",1907
17,"North West Frontier Province","May","Temperature",84.2,"ºF",1907
6,"Sindh","May","Temperature",89.2,"ºF",1907
7,"Rajputana Agency","May","Temperature",90.5,"ºF",1907
8,"Bombay Presidency","May","Temperature",86.4,"ºF",1907
9,"Central India Agency","May","Temperature",88.7,"ºF",1907
10,"Central Province And Berar","May","Temperature",90.3,"ºF",1907
11,"Hyderabad","May","Temperature",90.3,"ºF",1907
12,"Mysore","May","Temperature",80.9,"ºF",1907
13,"Madras Presidency","May","Temperature",88,"ºF",1907
14,"Lower Burma","May","Temperature",82.7,"ºF",1907
15,"Upper Burma","May","Temperature",85.2,"ºF",1907
16,"Jammu And Kashmir","May","Temperature",54.5,"ºF",1907
18,"Baluchistan Agency","May","Temperature",72.1,"ºF",1907
22,"Eastern Bengal And Assam","May","Rainfall",8.14,"in",1907
2,"Bengal","May","Rainfall",2.37,"in",1907
4,"United Province Of Agra And Oudh","May","Rainfall",0.45,"in",1907
5,"Punjab","May","Rainfall",0.28,"in",1907
17,"North West Frontier Province","May","Rainfall",0.49,"in",1907
6,"Sindh","May","Rainfall",0.01,"in",1907
7,"Rajputana Agency","May","Rainfall",0.4,"in",1907
8,"Bombay Presidency","May","Rainfall",0.1,"in",1907
9,"Central India Agency","May","Rainfall",0.13,"in",1907
10,"Central Province And Berar","May","Rainfall",0.11,"in",1907
11,"Hyderabad","May","Rainfall",0.07,"in",1907
12,"Mysore","May","Rainfall",1.92,"in",1907
13,"Madras Presidency","May","Rainfall",1.4,"in",1907
14,"Lower Burma","May","Rainfall",17.85,"in",1907
15,"Upper Burma","May","Rainfall",4.98,"in",1907
16,"Jammu And Kashmir","May","Rainfall",2.13,"in",1907
18,"Baluchistan Agency","May","Rainfall",0.02,"in",1907
22,"Eastern Bengal And Assam","June","Temperature",82.3,"ºF",1907
2,"Bengal","June","Temperature",86.7,"ºF",1907
4,"United Province Of Agra And Oudh","June","Temperature",92.5,"ºF",1907
5,"Punjab","June","Temperature",91.5,"ºF",1907
17,"North West Frontier Province","June","Temperature",89.2,"ºF",1907
6,"Sindh","June","Temperature",91.6,"ºF",1907
7,"Rajputana Agency","June","Temperature",93.7,"ºF",1907
8,"Bombay Presidency","June","Temperature",84.8,"ºF",1907
9,"Central India Agency","June","Temperature",90.9,"ºF",1907
10,"Central Province And Berar","June","Temperature",88.7,"ºF",1907
11,"Hyderabad","June","Temperature",85.5,"ºF",1907
12,"Mysore","June","Temperature",75.7,"ºF",1907
13,"Madras Presidency","June","Temperature",86,"ºF",1907
14,"Lower Burma","June","Temperature",81.3,"ºF",1907
15,"Upper Burma","June","Temperature",82.2,"ºF",1907
16,"Jammu And Kashmir","June","Temperature",59.1,"ºF",1907
18,"Baluchistan Agency","June","Temperature",77.7,"ºF",1907
22,"Eastern Bengal And Assam","June","Rainfall",16.65,"in",1907
2,"Bengal","June","Rainfall",11.18,"in",1907
4,"United Province Of Agra And Oudh","June","Rainfall",1.18,"in",1907
5,"Punjab","June","Rainfall",1.23,"in",1907
17,"North West Frontier Province","June","Rainfall",1.23,"in",1907
6,"Sindh","June","Rainfall",2.28,"in",1907
7,"Rajputana Agency","June","Rainfall",0.59,"in",1907
8,"Bombay Presidency","June","Rainfall",7.25,"in",1907
9,"Central India Agency","June","Rainfall",1.62,"in",1907
10,"Central Province And Berar","June","Rainfall",6.45,"in",1907
11,"Hyderabad","June","Rainfall",5.38,"in",1907
12,"Mysore","June","Rainfall",4.59,"in",1907
13,"Madras Presidency","June","Rainfall",6.71,"in",1907
14,"Lower Burma","June","Rainfall",26.49,"in",1907
15,"Upper Burma","June","Rainfall",5.58,"in",1907
16,"Jammu And Kashmir","June","Rainfall",3.08,"in",1907
18,"Baluchistan Agency","June","Rainfall",1.18,"in",1907
22,"Eastern Bengal And Assam","July","Temperature",82.4,"ºF",1907
2,"Bengal","July","Temperature",84.5,"ºF",1907
4,"United Province Of Agra And Oudh","July","Temperature",90.2,"ºF",1907
5,"Punjab","July","Temperature",92.4,"ºF",1907
17,"North West Frontier Province","July","Temperature",92.5,"ºF",1907
6,"Sindh","July","Temperature",93.2,"ºF",1907
7,"Rajputana Agency","July","Temperature",91.9,"ºF",1907
8,"Bombay Presidency","July","Temperature",82.4,"ºF",1907
9,"Central India Agency","July","Temperature",87.7,"ºF",1907
10,"Central Province And Berar","July","Temperature",82.9,"ºF",1907
11,"Hyderabad","July","Temperature",80.5,"ºF",1907
12,"Mysore","July","Temperature",74.3,"ºF",1907
13,"Madras Presidency","July","Temperature",83.9,"ºF",1907
14,"Lower Burma","July","Temperature",80.6,"ºF",1907
15,"Upper Burma","July","Temperature",82.9,"ºF",1907
16,"Jammu And Kashmir","July","Temperature",64.4,"ºF",1907
18,"Baluchistan Agency","July","Temperature",84.9,"ºF",1907
22,"Eastern Bengal And Assam","July","Rainfall",21.24,"in",1907
2,"Bengal","July","Rainfall",9.07,"in",1907
4,"United Province Of Agra And Oudh","July","Rainfall",7.39,"in",1907
5,"Punjab","July","Rainfall",2.77,"in",1907
17,"North West Frontier Province","July","Rainfall",1.59,"in",1907
6,"Sindh","July","Rainfall",0.16,"in",1907
7,"Rajputana Agency","July","Rainfall",3.87,"in",1907
8,"Bombay Presidency","July","Rainfall",16.21,"in",1907
9,"Central India Agency","July","Rainfall",8.09,"in",1907
10,"Central Province And Berar","July","Rainfall",9.25,"in",1907
11,"Hyderabad","July","Rainfall",5.94,"in",1907
12,"Mysore","July","Rainfall",7.85,"in",1907
13,"Madras Presidency","July","Rainfall",6.88,"in",1907
14,"Lower Burma","July","Rainfall",25.41,"in",1907
15,"Upper Burma","July","Rainfall",4.34,"in",1907
16,"Jammu And Kashmir","July","Rainfall",2.13,"in",1907
18,"Baluchistan Agency","July","Rainfall",0.42,"in",1907
22,"Eastern Bengal And Assam","August","Temperature",83.7,"ºF",1907
2,"Bengal","August","Temperature",83.4,"ºF",1907
4,"United Province Of Agra And Oudh","August","Temperature",84.4,"ºF",1907
5,"Punjab","August","Temperature",87.1,"ºF",1907
17,"North West Frontier Province","August","Temperature",89.4,"ºF",1907
6,"Sindh","August","Temperature",88.8,"ºF",1907
7,"Rajputana Agency","August","Temperature",82.3,"ºF",1907
8,"Bombay Presidency","August","Temperature",78.3,"ºF",1907
9,"Central India Agency","August","Temperature",78.9,"ºF",1907
10,"Central Province And Berar","August","Temperature",77.6,"ºF",1907
11,"Hyderabad","August","Temperature",77.2,"ºF",1907
12,"Mysore","August","Temperature",72.4,"ºF",1907
13,"Madras Presidency","August","Temperature",83,"ºF",1907
14,"Lower Burma","August","Temperature",79.1,"ºF",1907
15,"Upper Burma","August","Temperature",82.8,"ºF",1907
16,"Jammu And Kashmir","August","Temperature",66.5,"ºF",1907
18,"Baluchistan Agency","August","Temperature",82.2,"ºF",1907
22,"Eastern Bengal And Assam","August","Rainfall",11.19,"in",1907
2,"Bengal","August","Rainfall",12.49,"in",1907
4,"United Province Of Agra And Oudh","August","Rainfall",11.26,"in",1907
5,"Punjab","August","Rainfall",7.14,"in",1907
17,"North West Frontier Province","August","Rainfall",3.58,"in",1907
6,"Sindh","August","Rainfall",3.74,"in",1907
7,"Rajputana Agency","August","Rainfall",12.1,"in",1907
8,"Bombay Presidency","August","Rainfall",16.08,"in",1907
9,"Central India Agency","August","Rainfall",15.2,"in",1907
10,"Central Province And Berar","August","Rainfall",13.96,"in",1907
11,"Hyderabad","August","Rainfall",7.66,"in",1907
12,"Mysore","August","Rainfall",6.99,"in",1907
13,"Madras Presidency","August","Rainfall",7.41,"in",1907
14,"Lower Burma","August","Rainfall",36,"in",1907
15,"Upper Burma","August","Rainfall",5.34,"in",1907
16,"Jammu And Kashmir","August","Rainfall",4.35,"in",1907
18,"Baluchistan Agency","August","Rainfall",1.91,"in",1907
22,"Eastern Bengal And Assam","September","Temperature",82.5,"ºF",1907
2,"Bengal","September","Temperature",83.7,"ºF",1907
4,"United Province Of Agra And Oudh","September","Temperature",85.8,"ºF",1907
5,"Punjab","September","Temperature",87.6,"ºF",1907
17,"North West Frontier Province","September","Temperature",87.4,"ºF",1907
6,"Sindh","September","Temperature",85.5,"ºF",1907
7,"Rajputana Agency","September","Temperature",83.1,"ºF",1907
8,"Bombay Presidency","September","Temperature",79.8,"ºF",1907
9,"Central India Agency","September","Temperature",81,"ºF",1907
10,"Central Province And Berar","September","Temperature",81,"ºF",1907
11,"Hyderabad","September","Temperature",80.2,"ºF",1907
12,"Mysore","September","Temperature",74.8,"ºF",1907
13,"Madras Presidency","September","Temperature",84,"ºF",1907
14,"Lower Burma","September","Temperature",80.6,"ºF",1907
15,"Upper Burma","September","Temperature",82.7,"ºF",1907
16,"Jammu And Kashmir","September","Temperature",60.4,"ºF",1907
18,"Baluchistan Agency","September","Temperature",75.7,"ºF",1907
22,"Eastern Bengal And Assam","September","Rainfall",13.46,"in",1907
2,"Bengal","September","Rainfall",8.35,"in",1907
4,"United Province Of Agra And Oudh","September","Rainfall",0.43,"in",1907
5,"Punjab","September","Rainfall",0.17,"in",1907
17,"North West Frontier Province","September","Rainfall",0.49,"in",1907
6,"Sindh","September","Rainfall",0.02,"in",1907
7,"Rajputana Agency","September","Rainfall",0.08,"in",1907
8,"Bombay Presidency","September","Rainfall",3.87,"in",1907
9,"Central India Agency","September","Rainfall",0.9,"in",1907
10,"Central Province And Berar","September","Rainfall",1.86,"in",1907
11,"Hyderabad","September","Rainfall",3.25,"in",1907
12,"Mysore","September","Rainfall",5.88,"in",1907
13,"Madras Presidency","September","Rainfall",4.35,"in",1907
14,"Lower Burma","September","Rainfall",16.77,"in",1907
15,"Upper Burma","September","Rainfall",5.81,"in",1907
16,"Jammu And Kashmir","September","Rainfall",0.54,"in",1907
18,"Baluchistan Agency","September","Rainfall",0,"in",1907
22,"Eastern Bengal And Assam","October","Temperature",79.8,"ºF",1907
2,"Bengal","October","Temperature",81.4,"ºF",1907
4,"United Province Of Agra And Oudh","October","Temperature",80.4,"ºF",1907
5,"Punjab","October","Temperature",79.4,"ºF",1907
17,"North West Frontier Province","October","Temperature",76.5,"ºF",1907
6,"Sindh","October","Temperature",81.4,"ºF",1907
7,"Rajputana Agency","October","Temperature",80.7,"ºF",1907
8,"Bombay Presidency","October","Temperature",81.4,"ºF",1907
9,"Central India Agency","October","Temperature",79.4,"ºF",1907
10,"Central Province And Berar","October","Temperature",80.2,"ºF",1907
11,"Hyderabad","October","Temperature",81,"ºF",1907
12,"Mysore","October","Temperature",75.5,"ºF",1907
13,"Madras Presidency","October","Temperature",82.1,"ºF",1907
14,"Lower Burma","October","Temperature",81.2,"ºF",1907
15,"Upper Burma","October","Temperature",80.4,"ºF",1907
16,"Jammu And Kashmir","October","Temperature",50.7,"ºF",1907
18,"Baluchistan Agency","October","Temperature",62.9,"ºF",1907
22,"Eastern Bengal And Assam","October","Rainfall",1.83,"in",1907
2,"Bengal","October","Rainfall",0.41,"in",1907
4,"United Province Of Agra And Oudh","October","Rainfall",0,"in",1907
5,"Punjab","October","Rainfall",0.01,"in",1907
17,"North West Frontier Province","October","Rainfall",0.12,"in",1907
6,"Sindh","October","Rainfall",0,"in",1907
7,"Rajputana Agency","October","Rainfall",0,"in",1907
8,"Bombay Presidency","October","Rainfall",0.35,"in",1907
9,"Central India Agency","October","Rainfall",0,"in",1907
10,"Central Province And Berar","October","Rainfall",0.01,"in",1907
11,"Hyderabad","October","Rainfall",0.02,"in",1907
12,"Mysore","October","Rainfall",2.25,"in",1907
13,"Madras Presidency","October","Rainfall",4.55,"in",1907
14,"Lower Burma","October","Rainfall",10.17,"in",1907
15,"Upper Burma","October","Rainfall",4.6,"in",1907
16,"Jammu And Kashmir","October","Rainfall",0.52,"in",1907
18,"Baluchistan Agency","October","Rainfall",0,"in",1907
22,"Eastern Bengal And Assam","November","Temperature",72.3,"ºF",1907
2,"Bengal","November","Temperature",73,"ºF",1907
4,"United Province Of Agra And Oudh","November","Temperature",69.9,"ºF",1907
5,"Punjab","November","Temperature",68.4,"ºF",1907
17,"North West Frontier Province","November","Temperature",65.6,"ºF",1907
6,"Sindh","November","Temperature",75,"ºF",1907
7,"Rajputana Agency","November","Temperature",72.4,"ºF",1907
8,"Bombay Presidency","November","Temperature",78.4,"ºF",1907
9,"Central India Agency","November","Temperature",70.5,"ºF",1907
10,"Central Province And Berar","November","Temperature",72.8,"ºF",1907
11,"Hyderabad","November","Temperature",76.9,"ºF",1907
12,"Mysore","November","Temperature",72.9,"ºF",1907
13,"Madras Presidency","November","Temperature",79.1,"ºF",1907
14,"Lower Burma","November","Temperature",80.6,"ºF",1907
15,"Upper Burma","November","Temperature",75,"ºF",1907
16,"Jammu And Kashmir","November","Temperature",43.4,"ºF",1907
18,"Baluchistan Agency","November","Temperature",56.6,"ºF",1907
22,"Eastern Bengal And Assam","November","Rainfall",0.1,"in",1907
2,"Bengal","November","Rainfall",0.05,"in",1907
4,"United Province Of Agra And Oudh","November","Rainfall",0,"in",1907
5,"Punjab","November","Rainfall",0,"in",1907
17,"North West Frontier Province","November","Rainfall",0,"in",1907
6,"Sindh","November","Rainfall",0,"in",1907
7,"Rajputana Agency","November","Rainfall",0,"in",1907
8,"Bombay Presidency","November","Rainfall",0.22,"in",1907
9,"Central India Agency","November","Rainfall",0.22,"in",1907
10,"Central Province And Berar","November","Rainfall",0.62,"in",1907
11,"Hyderabad","November","Rainfall",0.19,"in",1907
12,"Mysore","November","Rainfall",2.1,"in",1907
13,"Madras Presidency","November","Rainfall",6.22,"in",1907
14,"Lower Burma","November","Rainfall",0.73,"in",1907
15,"Upper Burma","November","Rainfall",0.09,"in",1907
16,"Jammu And Kashmir","November","Rainfall",0.08,"in",1907
18,"Baluchistan Agency","November","Rainfall",0,"in",1907
22,"Eastern Bengal And Assam","December","Temperature",65.1,"ºF",1907
2,"Bengal","December","Temperature",64.5,"ºF",1907
4,"United Province Of Agra And Oudh","December","Temperature",59.5,"ºF",1907
5,"Punjab","December","Temperature",56.4,"ºF",1907
17,"North West Frontier Province","December","Temperature",53.6,"ºF",1907
6,"Sindh","December","Temperature",64.1,"ºF",1907
7,"Rajputana Agency","December","Temperature",61.8,"ºF",1907
8,"Bombay Presidency","December","Temperature",71.4,"ºF",1907
9,"Central India Agency","December","Temperature",60.6,"ºF",1907
10,"Central Province And Berar","December","Temperature",64.5,"ºF",1907
11,"Hyderabad","December","Temperature",71,"ºF",1907
12,"Mysore","December","Temperature",70.3,"ºF",1907
13,"Madras Presidency","December","Temperature",76.4,"ºF",1907
14,"Lower Burma","December","Temperature",75,"ºF",1907
15,"Upper Burma","December","Temperature",68.1,"ºF",1907
16,"Jammu And Kashmir","December","Temperature",30.7,"ºF",1907
18,"Baluchistan Agency","December","Temperature",47.9,"ºF",1907
22,"Eastern Bengal And Assam","December","Rainfall",0.47,"in",1907
2,"Bengal","December","Rainfall",0.59,"in",1907
4,"United Province Of Agra And Oudh","December","Rainfall",0,"in",1907
5,"Punjab","December","Rainfall",0,"in",1907
17,"North West Frontier Province","December","Rainfall",0,"in",1907
6,"Sindh","December","Rainfall",0,"in",1907
7,"Rajputana Agency","December","Rainfall",0,"in",1907
8,"Bombay Presidency","December","Rainfall",0.05,"in",1907
9,"Central India Agency","December","Rainfall",0,"in",1907
10,"Central Province And Berar","December","Rainfall",0.16,"in",1907
11,"Hyderabad","December","Rainfall",0.43,"in",1907
12,"Mysore","December","Rainfall",0.54,"in",1907
13,"Madras Presidency","December","Rainfall",2.13,"in",1907
14,"Lower Burma","December","Rainfall",1.51,"in",1907
15,"Upper Burma","December","Rainfall",1.26,"in",1907
16,"Jammu And Kashmir","December","Rainfall",0.02,"in",1907
18,"Baluchistan Agency","December","Rainfall",0.06,"in",1907
19,"Burma","January","Humidity",86,"%",1907
22,"Eastern Bengal And Assam","January","Humidity",90,"%",1907
2,"Bengal","January","Humidity",81,"%",1907
4,"United Province Of Agra And Oudh","January","Humidity",83,"%",1907
5,"Punjab","January","Humidity",83,"%",1907
17,"North West Frontier Province","January","Humidity",80,"%",1907
6,"Sindh","January","Humidity",68,"%",1907
7,"Rajputana Agency","January","Humidity",60,"%",1907
8,"Bombay Presidency","January","Humidity",64,"%",1907
9,"Central India Agency","January","Humidity",67,"%",1907
10,"Central Province And Berar","January","Humidity",63,"%",1907
11,"Hyderabad","January","Humidity",63,"%",1907
12,"Mysore","January","Humidity",75,"%",1907
13,"Madras Presidency","January","Humidity",80,"%",1907
19,"Burma","February","Humidity",81,"%",1907
22,"Eastern Bengal And Assam","February","Humidity",85,"%",1907
2,"Bengal","February","Humidity",81,"%",1907
4,"United Province Of Agra And Oudh","February","Humidity",82,"%",1907
5,"Punjab","February","Humidity",84,"%",1907
17,"North West Frontier Province","February","Humidity",82,"%",1907
6,"Sindh","February","Humidity",70,"%",1907
7,"Rajputana Agency","February","Humidity",66,"%",1907
8,"Bombay Presidency","February","Humidity",67,"%",1907
9,"Central India Agency","February","Humidity",68,"%",1907
10,"Central Province And Berar","February","Humidity",67,"%",1907
11,"Hyderabad","February","Humidity",60,"%",1907
12,"Mysore","February","Humidity",71,"%",1907
13,"Madras Presidency","February","Humidity",79,"%",1907
19,"Burma","March","Humidity",76,"%",1907
22,"Eastern Bengal And Assam","March","Humidity",83,"%",1907
2,"Bengal","March","Humidity",72,"%",1907
4,"United Province Of Agra And Oudh","March","Humidity",66,"%",1907
5,"Punjab","March","Humidity",72,"%",1907
17,"North West Frontier Province","March","Humidity",75,"%",1907
6,"Sindh","March","Humidity",55,"%",1907
7,"Rajputana Agency","March","Humidity",48,"%",1907
8,"Bombay Presidency","March","Humidity",60,"%",1907
9,"Central India Agency","March","Humidity",47,"%",1907
10,"Central Province And Berar","March","Humidity",45,"%",1907
11,"Hyderabad","March","Humidity",53,"%",1907
12,"Mysore","March","Humidity",62,"%",1907
13,"Madras Presidency","March","Humidity",74,"%",1907
19,"Burma","April","Humidity",72,"%",1907
22,"Eastern Bengal And Assam","April","Humidity",83,"%",1907
2,"Bengal","April","Humidity",66,"%",1907
4,"United Province Of Agra And Oudh","April","Humidity",57,"%",1907
5,"Punjab","April","Humidity",63,"%",1907
17,"North West Frontier Province","April","Humidity",69,"%",1907
6,"Sindh","April","Humidity",60,"%",1907
7,"Rajputana Agency","April","Humidity",45,"%",1907
8,"Bombay Presidency","April","Humidity",66,"%",1907
9,"Central India Agency","April","Humidity",48,"%",1907
10,"Central Province And Berar","April","Humidity",51,"%",1907
11,"Hyderabad","April","Humidity",61,"%",1907
12,"Mysore","April","Humidity",72,"%",1907
13,"Madras Presidency","April","Humidity",76,"%",1907
19,"Burma","May","Humidity",80,"%",1907
22,"Eastern Bengal And Assam","May","Humidity",82,"%",1907
2,"Bengal","May","Humidity",65,"%",1907
4,"United Province Of Agra And Oudh","May","Humidity",43,"%",1907
5,"Punjab","May","Humidity",41,"%",1907
17,"North West Frontier Province","May","Humidity",45,"%",1907
6,"Sindh","May","Humidity",49,"%",1907
7,"Rajputana Agency","May","Humidity",42,"%",1907
8,"Bombay Presidency","May","Humidity",61,"%",1907
9,"Central India Agency","May","Humidity",35,"%",1907
10,"Central Province And Berar","May","Humidity",33,"%",1907
11,"Hyderabad","May","Humidity",43,"%",1907
12,"Mysore","May","Humidity",73,"%",1907
13,"Madras Presidency","May","Humidity",70,"%",1907
19,"Burma","June","Humidity",88,"%",1907
22,"Eastern Bengal And Assam","June","Humidity",88,"%",1907
